hour,minute,second,Irms,Vrms,Prms
2,35,31,1.21,"
",
2,35,31,7.30,80.59,588.59
2,35,31,7.30,80.86,590.67
2,35,31,1.40,82.63,115.94
2,35,31,62.35,"
",
2,35,31,7.76,79.93,620.22
2,35,31,6.74,81.72,550.91
2,35,31,1.63,81.68,133.21
2,35,31,7.30,80.59,588.59
2,35,31,7.30,80.86,590.67
2,35,31,1.40,82.63,115.94
2,35,31,62.35,"
",
2,35,31,7.76,79.93,620.22
2,35,31,6.74,81.72,550.91
2,35,31,1.63,81.68,133.21
2,35,31,7.30,80.59,588.59
2,35,31,7.30,80.86,590.67
2,35,31,1.40,82.63,115.94
,,,,,
